time,x,y,s,dis,dir,event,nflId,displayName,jerseyNumber,team,frame.id,gameId,playId
Q1-14:54,17.50,26.60,NA,0.0,NA,snap,18,Shea Patterson,2,Michigan Wolverines,1,117,1111
Q1-14:54,18.16,26.66,NA,0.1,NA,,18,Shea Patterson,2,Michigan Wolverines,2,117,1111
Q1-14:53,18.82,26.72,NA,0.1,NA,,18,Shea Patterson,2,Michigan Wolverines,3,117,1111
Q1-14:53,19.48,26.78,NA,0.1,NA,,18,Shea Patterson,2,Michigan Wolverines,4,117,1111
Q1-14:52,20.14,26.84,NA,0.1,NA,,18,Shea Patterson,2,Michigan Wolverines,5,117,1111
Q1-14:52,20.80,26.90,NA,0.1,NA,throw,18,Shea Patterson,2,Michigan Wolverines,6,117,1111
Q1-14:52,21.00,27.00,NA,0.1,NA,,18,Shea Patterson,2,Michigan Wolverines,7,117,1111
Q1-14:51,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,8,117,1111
Q1-14:51,21.00,27.00,NA,0.0,NA,pass_outcome_complete,18,Shea Patterson,2,Michigan Wolverines,9,117,1111
Q1-14:51,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,10,117,1111
Q1-14:51,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,11,117,1111
Q1-14:50,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,12,117,1111
Q1-14:50,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,13,117,1111
Q1-14:49,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,14,117,1111
Q1-14:49,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,15,117,1111
Q1-14:48,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,16,117,1111
Q1-14:48,21.00,27.00,NA,0.0,NA,,18,Shea Patterson,2,Michigan Wolverines,17,117,1111
Q1-14:48,21.00,27.00,NA,0.0,NA,tackle,18,Shea Patterson,2,Michigan Wolverines,18,117,1111
Q1-14:54,24.50,48.20,NA,0.0,NA,snap,818,Nico Collins,4,Michigan Wolverines,1,117,1111
Q1-14:54,25.10,47.70,NA,-0.5,NA,,818,Nico Collins,4,Michigan Wolverines,2,117,1111
Q1-14:53,27.20,48.00,NA,0.3,NA,,818,Nico Collins,4,Michigan Wolverines,3,117,1111
Q1-14:53,30.20,48.20,NA,0.2,NA,,818,Nico Collins,4,Michigan Wolverines,4,117,1111
Q1-14:52,32.50,48.70,NA,0.5,NA,,818,Nico Collins,4,Michigan Wolverines,5,117,1111
Q1-14:52,32.90,48.85,NA,0.1,NA,throw,818,Nico Collins,4,Michigan Wolverines,6,117,1111
Q1-14:52,33.30,49.00,NA,0.1,NA,,818,Nico Collins,4,Michigan Wolverines,7,117,1111
Q1-14:51,33.40,49.10,NA,0.1,NA,,818,Nico Collins,4,Michigan Wolverines,8,117,1111
Q1-14:51,33.43,49.13,NA,0.0,NA,pass_outcome_complete,818,Nico Collins,4,Michigan Wolverines,9,117,1111
Q1-14:51,33.47,49.17,NA,0.0,NA,,818,Nico Collins,4,Michigan Wolverines,10,117,1111
Q1-14:51,33.50,49.20,NA,0.0,NA,,818,Nico Collins,4,Michigan Wolverines,11,117,1111
Q1-14:50,33.60,47.30,NA,-1.9,NA,,818,Nico Collins,4,Michigan Wolverines,12,117,1111
Q1-14:50,33.90,45.90,NA,-1.4,NA,,818,Nico Collins,4,Michigan Wolverines,13,117,1111
Q1-14:49,34.40,44.00,NA,-1.9,NA,,818,Nico Collins,4,Michigan Wolverines,14,117,1111
Q1-14:49,34.80,42.10,NA,-1.9,NA,,818,Nico Collins,4,Michigan Wolverines,15,117,1111
Q1-14:48,34.90,40.50,NA,-1.6,NA,,818,Nico Collins,4,Michigan Wolverines,16,117,1111
Q1-14:48,34.90,39.10,NA,-1.4,NA,,818,Nico Collins,4,Michigan Wolverines,17,117,1111
Q1-14:48,34.90,39.10,NA,0.0,NA,tackle,818,Nico Collins,4,Michigan Wolverines,18,117,1111
Q1-14:54,25.40,10.10,NA,0.0,NA,snap,819,Donovan Peoples-Jones,9,Michigan Wolverines,1,117,1111
Q1-14:54,25.70,10.00,NA,-0.1,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,2,117,1111
Q1-14:53,27.80,9.80,NA,-0.2,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,3,117,1111
Q1-14:53,30.90,9.50,NA,-0.3,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,4,117,1111
Q1-14:52,34.20,9.20,NA,-0.3,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,5,117,1111
Q1-14:52,35.70,7.90,NA,-1.3,NA,throw,819,Donovan Peoples-Jones,9,Michigan Wolverines,6,117,1111
Q1-14:52,35.40,9.30,NA,1.4,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,7,117,1111
Q1-14:51,35.10,8.40,NA,-0.9,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,8,117,1111
Q1-14:51,34.20,5.80,NA,-2.6,NA,pass_outcome_complete,819,Donovan Peoples-Jones,9,Michigan Wolverines,9,117,1111
Q1-14:51,34.60,6.10,NA,0.3,NA,pass_outcome_complete,819,Donovan Peoples-Jones,9,Michigan Wolverines,10,117,1111
Q1-14:51,33.70,8.50,NA,2.4,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,11,117,1111
Q1-14:50,31.90,8.90,NA,0.4,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,12,117,1111
