time,x,y,s,dis,dir,event,nflId,displayName,jerseyNumber,team,frame.id,gameId,playId
Q2-12:7,50.5,7.1,NA,0,NA,snap,818,Nico Collins,4,Michigan Wolverines,1,117,1116
Q2-12:6,52.4,7,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,2,117,1116
Q2-12:6,55.1,7.2,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,3,117,1116
Q2-12:5,58.3,6.7,NA,0,NA,throw,818,Nico Collins,4,Michigan Wolverines,4,117,1116
Q2-12:5,60,8.4,NA,0,NA,throw,818,Nico Collins,4,Michigan Wolverines,5,117,1116
Q2-12:5,59.9,7.3,NA,0,NA,throw,818,Nico Collins,4,Michigan Wolverines,6,117,1116
Q2-12:4,59.9,7.8,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,7,117,1116
Q2-12:4,58.5,7.9,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,8,117,1116
Q2-12:4,58.6,9.4,NA,0,NA,likelytackler,818,Nico Collins,4,Michigan Wolverines,9,117,1116
Q2-12:4,58.5,9.6,NA,0.2,NA,passcompletion,818,Nico Collins,4,Michigan Wolverines,10,117,1116
Q2-12:3,57.1,9.8,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,11,117,1116
Q2-12:3,56.8,11.5,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,12,117,1116
Q2-12:2,56.3,12.3,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,13,117,1116
Q2-12:2,56.2,12.4,NA,0,NA,,818,Nico Collins,4,Michigan Wolverines,14,117,1116
Q2-12:1,54.1,13.3,NA,0,NA,tackle,818,Nico Collins,4,Michigan Wolverines,15,117,1116
Q2-12:7,50.9,8.9,NA,0,NA,snap,818,Nico Collins,4,Michigan Wolverines,,117,1116
Q2-12:7,51,43.9,NA,0,NA,snap,819,Donovan Peoples-Jones,9,Michigan Wolverines,1,117,1116
Q2-12:6,52.1,42.9,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,2,117,1116
Q2-12:6,53.3,40.4,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,3,117,1116
Q2-12:5,54.4,36.9,NA,0,NA,throw,819,Donovan Peoples-Jones,9,Michigan Wolverines,4,117,1116
Q2-12:5,55.3,33.1,NA,0,NA,throw,819,Donovan Peoples-Jones,9,Michigan Wolverines,5,117,1116
Q2-12:5,55.375,32.025,,,,throw,819,Donovan Peoples-Jones,9,Michigan Wolverines,6,117,1116
Q2-12:4,55.45,30.95,,,,,819,Donovan Peoples-Jones,9,Michigan Wolverines,7,117,1116
Q2-12:4,55.525,29.875,,,,,819,Donovan Peoples-Jones,9,Michigan Wolverines,8,117,1116
Q2-12:4,55.6,28.8,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,9,117,1116
Q2-12:4,55.5,24.8,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,10,117,1116
Q2-12:3,55.9,21.4,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,11,117,1116
Q2-12:3,56.7,18.4,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,12,117,1116
Q2-12:2,58.1,16.3,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,13,117,1116
Q2-12:2,58.9,14.7,NA,0,NA,,819,Donovan Peoples-Jones,9,Michigan Wolverines,14,117,1116
Q2-12:1,58.6,13.4,NA,0,NA,tackle,819,Donovan Peoples-Jones,9,Michigan Wolverines,15,117,1116
Q2-12:7,51.4,46.2,NA,0,NA,snap,819,Donovan Peoples-Jones,9,Michigan Wolverines,,117,1116
Q2-12:7,52,17.9,NA,0,NA,snap,820,Grant Perry,88,Michigan Wolverines,1,117,1116
Q2-12:6,54.1,17.7,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,2,117,1116
Q2-12:6,57,16.7,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,3,117,1116
Q2-12:5,60.8,14.2,NA,0,NA,throw,820,Grant Perry,88,Michigan Wolverines,4,117,1116
Q2-12:5,64,17,NA,0,NA,throw,820,Grant Perry,88,Michigan Wolverines,5,117,1116
Q2-12:5,64.5,16.3,NA,0,NA,throw,820,Grant Perry,88,Michigan Wolverines,6,117,1116
Q2-12:4,65.53333,16.96667,,,,,820,Grant Perry,88,Michigan Wolverines,7,117,1116
Q2-12:4,66.56666,17.63334,,,,,820,Grant Perry,88,Michigan Wolverines,8,117,1116
Q2-12:4,67.6,18.30001,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,9,117,1116
Q2-12:4,69.8,20.6,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,10,117,1116
Q2-12:3,71.2,23.6,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,11,117,1116
Q2-12:3,71.9,25.6,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,12,117,1116
Q2-12:2,72.2,26.5,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,13,117,1116
Q2-12:2,72,26.2,NA,0,NA,,820,Grant Perry,88,Michigan Wolverines,14,117,1116
Q2-12:1,71,26.5,NA,0,NA,tackle,820,Grant Perry,88,Michigan Wolverines,15,117,1116
Q2-12:7,52.2,20.9,NA,0,NA,snap,820,Grant Perry,88,Michigan Wolverines,,117,1116
Q2-12:7,52,40.1,NA,0,NA,snap,821,Zach Gentry,83,Michigan Wolverines,1,117,1116
Q2-12:6,54.3,40.3,NA,0,NA,,821,Zach Gentry,83,Michigan Wolverines,2,117,1116
Q2-12:6,56.7,40.1,NA,0,NA,,821,Zach Gentry,83,Michigan Wolverines,3,117,1116
Q2-12:5,59.4,37.3,NA,0,NA,throw,821,Zach Gentry,83,Michigan Wolverines,4,117,1116
Q2-12:5,61.8,37.3,NA,0,NA,throw,821,Zach Gentry,83,Michigan Wolverines,5,117,1116
Q2-12:5,62.175,36.55,,,,throw,821,Zach Gentry,83,Michigan Wolverines,6,117,1116
Q2-12:4,62.55,35.8,,,,,821,Zach Gentry,83,Michigan Wolverines,7,117,1116
Q2-12:4,62.925,35.05,,,,,821,Zach Gentry,83,Michigan Wolverines,8,117,1116
Q2-12:4,63.3,34.3,NA,0,NA,,821,Zach Gentry,83,Michigan Wolverines,9,117,1116
